TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSRNOT00000078807	ENSRNOE00000533829	24_0	ENSRNOT00000078807	ENSRNOE00000562329	7_0	rattus_norvegicus	13	GSE43013						2.8160651016691476e-07																													6.346554496816282e-08																										
ENSRNOT00000071335	ENSRNOE00000562329	7_0	ENSRNOT00000071335	ENSRNOE00000528176	27_0	rattus_norvegicus	9	GSE41637						1.7807783390683947e-07																													8.808334904520072e-09																		1.2722524426706193e-08				1.5600836376438977e-07				
ENSRNOT00000071335	ENSRNOE00000562329	7_0	ENSRNOT00000071335	ENSRNOE00000528176	27_0	rattus_norvegicus	9	GSE43013						3.3586172766061683e-07																																																							
ENSRNOT00000078807	ENSRNOE00000562329	7_0	ENSRNOT00000071335	ENSRNOE00000528176	27_0	rattus_norvegicus	9	GSE41637						1.7807783390683947e-07																													8.808334904520072e-09																		1.2722524426706193e-08				1.5600836376438977e-07				
ENSRNOT00000078807	ENSRNOE00000562329	7_0	ENSRNOT00000071335	ENSRNOE00000528176	27_0	rattus_norvegicus	9	GSE43013						3.3586172766061683e-07																																																							
ENSRNOT00000071335	ENSRNOE00000562329	7_0	ENSRNOT00000078807	ENSRNOE00000528176	27_0	rattus_norvegicus	9	GSE41637						1.7807783390683947e-07																													8.808334904520072e-09																		1.2722524426706193e-08				1.5600836376438977e-07				
ENSRNOT00000071335	ENSRNOE00000562329	7_0	ENSRNOT00000078807	ENSRNOE00000528176	27_0	rattus_norvegicus	9	GSE43013						3.3586172766061683e-07																																																							
ENSRNOT00000078807	ENSRNOE00000562329	7_0	ENSRNOT00000078807	ENSRNOE00000528176	27_0	rattus_norvegicus	9	GSE41637						1.7807783390683947e-07																													8.808334904520072e-09																		1.2722524426706193e-08				1.5600836376438977e-07				
ENSRNOT00000078807	ENSRNOE00000562329	7_0	ENSRNOT00000078807	ENSRNOE00000528176	27_0	rattus_norvegicus	9	GSE43013						3.3586172766061683e-07																																																							
ENSRNOT00000071335	ENSRNOE00000528176	27_0	ENSRNOT00000071335	ENSRNOE00000541808	13_0	rattus_norvegicus	4	GSE41637						2.1674922403777796e-07																																																							
ENSRNOT00000071335	ENSRNOE00000528176	27_0	ENSRNOT00000071335	ENSRNOE00000541808	13_0	rattus_norvegicus	4	GSE43013						6.92262340880941e-08																																																							
ENSRNOT00000078807	ENSRNOE00000528176	27_0	ENSRNOT00000071335	ENSRNOE00000541808	13_0	rattus_norvegicus	4	GSE41637						2.1674922403777796e-07																																																							
ENSRNOT00000078807	ENSRNOE00000528176	27_0	ENSRNOT00000071335	ENSRNOE00000541808	13_0	rattus_norvegicus	4	GSE43013						6.92262340880941e-08																																																							
ENSRNOT00000071335	ENSRNOE00000528176	27_0	ENSRNOT00000078807	ENSRNOE00000541808	13_0	rattus_norvegicus	4	GSE41637						2.1674922403777796e-07																																																							
ENSRNOT00000071335	ENSRNOE00000528176	27_0	ENSRNOT00000078807	ENSRNOE00000541808	13_0	rattus_norvegicus	4	GSE43013						6.92262340880941e-08																																																							
ENSRNOT00000078807	ENSRNOE00000528176	27_0	ENSRNOT00000078807	ENSRNOE00000541808	13_0	rattus_norvegicus	4	GSE41637						2.1674922403777796e-07																																																							
ENSRNOT00000078807	ENSRNOE00000528176	27_0	ENSRNOT00000078807	ENSRNOE00000541808	13_0	rattus_norvegicus	4	GSE43013						6.92262340880941e-08																																																							
ENSRNOT00000071335	ENSRNOE00000544526	13_1	ENSRNOT00000071335	ENSRNOE00000556075	16_0	rattus_norvegicus	1	GSE43013						6.068938160979435e-08																																																							
ENSRNOT00000078807	ENSRNOE00000544526	13_1	ENSRNOT00000071335	ENSRNOE00000556075	16_0	rattus_norvegicus	1	GSE43013						6.068938160979435e-08																																																							
ENSRNOT00000071335	ENSRNOE00000544526	13_1	ENSRNOT00000078807	ENSRNOE00000556075	16_0	rattus_norvegicus	1	GSE43013						6.068938160979435e-08																																																							
ENSRNOT00000078807	ENSRNOE00000544526	13_1	ENSRNOT00000078807	ENSRNOE00000556075	16_0	rattus_norvegicus	1	GSE43013						6.068938160979435e-08																																																							
ENSRNOT00000071335	ENSRNOE00000527897	25_0	ENSRNOT00000071335	ENSRNOE00000563668	19_1	rattus_norvegicus	8	GSE41637						2.456320589080706e-07																																																			1.0834347229604325e-08				
ENSRNOT00000071335	ENSRNOE00000527897	25_0	ENSRNOT00000071335	ENSRNOE00000563668	19_1	rattus_norvegicus	8	GSE43013						1.961728662729981e-07																													6.093713809283356e-08																										
ENSRNOT00000078807	ENSRNOE00000527897	25_0	ENSRNOT00000071335	ENSRNOE00000563668	19_1	rattus_norvegicus	8	GSE41637						2.456320589080706e-07																																																			1.0834347229604325e-08				
ENSRNOT00000078807	ENSRNOE00000527897	25_0	ENSRNOT00000071335	ENSRNOE00000563668	19_1	rattus_norvegicus	8	GSE43013						1.961728662729981e-07																													6.093713809283356e-08																										
ENSRNOT00000071335	ENSRNOE00000527897	25_0	ENSRNOT00000078807	ENSRNOE00000563668	19_1	rattus_norvegicus	8	GSE41637						2.456320589080706e-07																																																			1.0834347229604325e-08				
ENSRNOT00000071335	ENSRNOE00000527897	25_0	ENSRNOT00000078807	ENSRNOE00000563668	19_1	rattus_norvegicus	8	GSE43013						1.961728662729981e-07																													6.093713809283356e-08																										
ENSRNOT00000078807	ENSRNOE00000527897	25_0	ENSRNOT00000078807	ENSRNOE00000563668	19_1	rattus_norvegicus	8	GSE41637						2.456320589080706e-07																																																			1.0834347229604325e-08				
ENSRNOT00000078807	ENSRNOE00000527897	25_0	ENSRNOT00000078807	ENSRNOE00000563668	19_1	rattus_norvegicus	8	GSE43013						1.961728662729981e-07																													6.093713809283356e-08																										
ENSRNOT00000071335	ENSRNOE00000563668	19_1	ENSRNOT00000071335	ENSRNOE00000540669	12_0	rattus_norvegicus	12	GSE41637						1.8298421223727804e-07																													1.7616669809040143e-08	1.346907432825765e-08																	1.1719306529724539e-08								
ENSRNOT00000071335	ENSRNOE00000563668	19_1	ENSRNOT00000071335	ENSRNOE00000540669	12_0	rattus_norvegicus	12	GSE43013						1.865826132435739e-07																													6.093713809283356e-08																										
ENSRNOT00000078807	ENSRNOE00000563668	19_1	ENSRNOT00000071335	ENSRNOE00000540669	12_0	rattus_norvegicus	12	GSE41637						1.8298421223727804e-07																													1.7616669809040143e-08	1.346907432825765e-08																	1.1719306529724539e-08								
ENSRNOT00000078807	ENSRNOE00000563668	19_1	ENSRNOT00000071335	ENSRNOE00000540669	12_0	rattus_norvegicus	12	GSE43013						1.865826132435739e-07																													6.093713809283356e-08																										
ENSRNOT00000071335	ENSRNOE00000563668	19_1	ENSRNOT00000078807	ENSRNOE00000540669	12_0	rattus_norvegicus	12	GSE41637						1.8298421223727804e-07																													1.7616669809040143e-08	1.346907432825765e-08																	1.1719306529724539e-08								
ENSRNOT00000071335	ENSRNOE00000563668	19_1	ENSRNOT00000078807	ENSRNOE00000540669	12_0	rattus_norvegicus	12	GSE43013						1.865826132435739e-07																													6.093713809283356e-08																										
ENSRNOT00000078807	ENSRNOE00000563668	19_1	ENSRNOT00000078807	ENSRNOE00000540669	12_0	rattus_norvegicus	12	GSE41637						1.8298421223727804e-07																													1.7616669809040143e-08	1.346907432825765e-08																	1.1719306529724539e-08								
ENSRNOT00000078807	ENSRNOE00000563668	19_1	ENSRNOT00000078807	ENSRNOE00000540669	12_0	rattus_norvegicus	12	GSE43013						1.865826132435739e-07																													6.093713809283356e-08																										
ENSRNOT00000071335	ENSRNOE00000540669	12_0	ENSRNOT00000071335	ENSRNOE00000564100	8_0	rattus_norvegicus	11	GSE41637						2.418358801283037e-07																													2.6425004713560217e-08	7.181617829062728e-08																									
ENSRNOT00000071335	ENSRNOE00000540669	12_0	ENSRNOT00000071335	ENSRNOE00000564100	8_0	rattus_norvegicus	11	GSE43013						1.5398068823158128e-07																													5.8408731217504304e-08																										
ENSRNOT00000078807	ENSRNOE00000540669	12_0	ENSRNOT00000071335	ENSRNOE00000564100	8_0	rattus_norvegicus	11	GSE41637						2.418358801283037e-07																													2.6425004713560217e-08	7.181617829062728e-08																									
ENSRNOT00000078807	ENSRNOE00000540669	12_0	ENSRNOT00000071335	ENSRNOE00000564100	8_0	rattus_norvegicus	11	GSE43013						1.5398068823158128e-07																													5.8408731217504304e-08																										
ENSRNOT00000071335	ENSRNOE00000540669	12_0	ENSRNOT00000078807	ENSRNOE00000564100	8_0	rattus_norvegicus	11	GSE41637						2.418358801283037e-07																													2.6425004713560217e-08	7.181617829062728e-08																									
ENSRNOT00000071335	ENSRNOE00000540669	12_0	ENSRNOT00000078807	ENSRNOE00000564100	8_0	rattus_norvegicus	11	GSE43013						1.5398068823158128e-07																													5.8408731217504304e-08																										
