Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
sus_scrofa	15_0,4_0,4_1					3.551665873119135e-07																3.748187938541111e-07			6.156329251745673e-07		6.485562309377438e-07	1.8156522410547837e-06						8.764829323629668e-07										
homo_sapiens	15_0,4_0,4_1		6.361826563195607e-07	3.046187011009685e-07	5.827217226379658e-07	5.863180105202826e-07				1.0469350660296828e-06		6.65746187883787e-07		4.57991030105319e-07				1.049253977058104e-06		2.3050018750922267e-06		3.926516628142293e-07	9.288928213269429e-07	7.904389506114695e-07	4.97775321897941e-07	7.171059826677099e-07	1.8847364399921083e-07	6.139436258656854e-07	3.5437664615366484e-07		2.2078909236613225e-06	1.4938972692275756e-07	1.0848263586860887e-06	1.0973030340833845e-06	7.212291351946833e-07	3.299434760638981e-07		7.261463681747782e-07	4.341604379115841e-07	1.6093819742144222e-06	4.495620862058591e-07		4.6609135020583503e-07	
gorilla_gorilla	15_0,4_1					2.3781611397346386e-06						3.3548867889832454e-06								1.5918451268536508e-06		6.301355804362348e-07					6.621599418946828e-07							3.56100833993384e-06						1.092440952480674e-06				
sus_scrofa	15_0,4_1					2.847422491356114e-07																1.199420140333156e-06			9.67423168131463e-07		7.54834886860876e-07	1.1467277311924947e-06						8.182936196663705e-07										
mus_musculus	15_0,4_1	2.850236829928038e-06				1.2890763321964437e-06		2.3317795908659528e-07	2.256237028830648e-07	2.4607909207208122e-06		1.8210198769975762e-06	4.57672822868098e-07	7.012526384309812e-07			4.374786341814961e-07	5.841580551714278e-06	4.842912239905024e-07			3.8510606423894297e-07					5.280320938678269e-07	1.5259049083736217e-06					6.562617685523512e-06			3.2234588763048636e-07	1.0884963644395317e-06			1.1030933115874979e-06		3.5101341789582426e-06		7.219459576676558e-07
ornithorhynchus_anatinus	15_0,4_1					1.3155127931538437e-06				2.298252920658962e-06		5.564841738992292e-06						7.009922150385446e-06				2.2471567704044404e-06					8.617789579369456e-07													5.0726328503850475e-06				
homo_sapiens	15_0,4_1		5.336475520350611e-07	6.352663532837242e-07	5.44525254425877e-07	1.2293615171952518e-06				1.1555760423684334e-06		9.196491038892096e-07		3.300643123133513e-07				1.2029112308192952e-06		3.035112068807863e-06		5.235137464610572e-07	1.202386386443962e-06	1.1064801298291084e-06	8.810626302721966e-07	6.206562975540552e-07	2.9030034647872644e-07	8.928181111828259e-07	5.033578486024045e-07		1.8735300713569798e-06	1.252337621602888e-07	1.366554277904485e-06	1.4704503679760526e-06	5.068889956092239e-07			1.1255107838614877e-06	4.3416043791158407e-07	1.3029118066951952e-06	5.141640855261972e-07		5.21788536278932e-07	
monodelphis_domestica	15_0,4_0,4_1,4_2					5.253961884227135e-07				2.567274653079354e-06		6.063874667171158e-07						4.825498800628352e-06				8.228428649007046e-08					6.493329858018946e-07						1.1948011762847056e-06							2.208792290727675e-06				
bos_taurus	15_0,4_0,4_1,4_2					4.7591039109623593e-07				7.094347773194658e-07				8.890960750841955e-07								2.090458239490931e-07					7.4837825632162e-07	1.2569874042677059e-06						5.919785698885892e-07		1.1111052080870049e-07	1.194395488396515e-06			4.4555108410595056e-07				
gorilla_gorilla	15_0,4_0,4_1,4_2					7.833422041497307e-07						9.054195542512274e-07								7.796792458058699e-07		1.938878709034568e-07					4.6569958048054133e-07							2.123964458040371e-06						1.1644187636262358e-06				
