Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	embryonic stem cell	female gonad	fibroblast	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
monodelphis_domestica	4_2,2_2,11_0								9.008143097873818e-08						1.5439646312118536e-07			7.782266251653075e-07										1.316412430637079e-06											
bos_taurus	4_2,2_2,11_0					2.89740969658261e-07			2.558511687205341e-06				1.005976616680976e-05					0.0004255681099485005					1.1273933807853599e-07	1.132967402209615e-06					9.710372166459698e-07		0.0013607575521413966	1.3827098629778355e-06			3.037990176019221e-06				
gorilla_gorilla	4_2,2_2,11_0					5.207037597243858e-07					9.494737929687181e-06						1.0395723277411598e-06	9.767629942816887e-06					1.9528894936710243e-07						3.1386663481296676e-06						3.822655430362259e-07				
sus_scrofa	4_2,2_2,11_0					1.1902648019594705e-07												0.0001995410318881337						1.767871918921762e-06					1.3953814465662996e-06										
homo_sapiens	4_2,2_2,11_0		3.471204649214922e-07	6.791898918971653e-07	7.925874822263693e-06	2.1600391103538266e-07			9.536388053316468e-07		1.7036649763963605e-06		1.2461704649716624e-06		2.8662696687498127e-06		7.020406502099659e-07	1.121739232269754e-05	5.176207444106889e-05	1.3124404595265672e-06	1.1488233904865328e-06		4.387997275281869e-08	1.4824432177165674e-06	9.430314994633424e-07	1.5131461997709296e-05	0.0008392669010010544	3.9117128677224024e-07	5.427249183510498e-07	5.869524406845911e-07	0.00015461062705377242		3.4731922753475818e-06		6.080908706647252e-06	4.554009111433559e-05		9.200147392145644e-05	
rattus_norvegicus	4_2,2_2,11_0					8.257113296677255e-08			1.043772409381716e-06				2.2626987609885306e-07					1.919399921983406e-06						1.2122166895431881e-07							0.0011465501867283354	5.265221999720342e-07			1.1521460082272638e-07				
homo_sapiens	4_2,2_0,2_2,5_0																									4.486471542283478e-06	7.310307008872825e-07												
bos_taurus	4_2,2_0,2_2,5_0																	2.103925149362157e-06													1.37420714368407e-06								
homo_sapiens	4_2,11_0,5_0				8.267923058447705e-06																					3.1917139762449884e-05	0.0003104422145120322								1.8103226802593595e-05				
bos_taurus	4_2,11_0,5_0					3.1550458610902718e-06							0.0003853533219059744					0.00012506825453307454					7.923538551611305e-07	1.2183766971266938e-05							0.00040003015415954245	3.199826187364596e-05			3.3387290987792383e-06				
rattus_norvegicus	4_2,11_0,5_0												4.588275833170398e-05											4.449662290738885e-06							0.00039662441844014537								
mus_musculus	4_2,11_0,5_0																											9.104644441007805e-06			0.00018155396731997836						6.354240302411605e-07		7.292775741716974e-05
mus_musculus	4_2,2_0,11_0,5_0	2.832764429072803e-07				1.1018666861909018e-06		8.356433440113511e-08	3.753404360833268e-07		2.3171662477947537e-07		2.5770020182544603e-05	1.8228276424229008e-07	1.0557863130612704e-05	2.9652217047839548e-06		1.2236375486912344e-06					2.411677672107259e-07	3.7305033423588173e-06				1.4063221273094617e-05			0.00012155293994673614	2.8108719607740483e-06			1.4609899020961949e-06		1.8972688988356097e-06		5.0239685822230107e-05
bos_taurus	4_2,2_0,11_0,5_0					7.144383199153133e-06			2.0170203682433662e-06				0.0008756698595121633					8.768451245005922e-05					2.0939092288806864e-06	3.3542859132911966e-05					1.6968455465581325e-06		0.0002692080644782061	8.125342585638903e-05			6.845360788852593e-06				
gorilla_gorilla	4_2,2_0,11_0,5_0					5.426850166527951e-06					4.639088387344735e-06						1.8409093303749705e-06	1.1266361131494326e-05					2.8921284084432523e-06						4.051742340815319e-06						2.089988901038446e-06				
sus_scrofa	4_2,2_0,11_0,5_0					3.8483535526210085e-06												6.350263298541654e-05			6.830593884079721e-06		2.386828743975293e-06	2.344421139326878e-05					1.3312782083264365e-06										
homo_sapiens	4_2,2_0,11_0,5_0		1.5261085376296126e-05	3.622102506301444e-05	1.1829671826305184e-05	8.584990795858861e-06			2.698398186553912e-06		5.516703954153927e-07		0.0002088482235789728		3.255359816151291e-05		1.19068568164764e-06	9.550021721245965e-06	3.373644184691079e-05	1.278227962381891e-05	2.6215404918969467e-06		3.8858111625937237e-07	1.2712087533685844e-05	1.4671142088956256e-05	3.3817346248557405e-05	0.00020788480332950055	2.5056947601625872e-05	9.286079026565635e-07	0.00011677091695435516	4.586675122244999e-05		3.816663973160633e-05		3.082295426162116e-05	1.9811688361067912e-05		2.1631985058924106e-05	
rattus_norvegicus	4_2,2_0,11_0,5_0					1.9957110086317565e-06			1.070584000914779e-06				0.00010518697777988591					4.464462203686311e-06					4.969973255362821e-07	9.153595042238837e-06							0.00026533521577080433	7.3322251891243255e-06			2.7835118505256285e-06				
homo_sapiens	4_2,2_2,5_0																									6.643280577501037e-06	0.0004021054805334591												
bos_taurus	4_2,2_2,5_0																	0.00021746759089785769													0.0006550645576757891								
mus_musculus	6_0,3_0,7_0	2.90338566911818e-07				1.6574137029047059e-06		8.774255112119187e-08	5.064886802169677e-07	7.12863452899473e-07	4.3629428441254636e-07	6.6436377513111e-08	2.4253505462859393e-05	4.739351870299542e-07	1.7068735409393907e-05	4.957612792955408e-06		1.5121188319083976e-06					3.464441440770866e-07	4.388596175610001e-06				2.323691232615036e-05			0.00047511533829963334	3.559221380387658e-06			1.7545060475883816e-06		1.918738863394909e-06		0.00012182461999381881
monodelphis_domestica	6_0,3_0,7_0					1.512965748603824e-06			8.169981350658342e-07		4.3336329422855225e-07				4.561777714202099e-05			1.6749688206716766e-06					1.2986659716037894e-07					2.0729579955825766e-05							1.604767419914973e-06				
bos_taurus	6_0,3_0,7_0					9.995259566040833e-06			3.125269918451407e-06				0.0007118717233497653					0.00038651316648392604					2.3635085116404844e-06	3.795909641189198e-05					3.7069659196465614e-06		0.001595974943631289	6.914422922555882e-05			1.308224554878635e-05				
gorilla_gorilla	6_0,3_0,7_0					5.243696914896054e-06					7.522702171632079e-06						2.875067218909145e-06	1.3740162191535136e-05					2.776230904829697e-06						5.0934412345424345e-06						2.551395116549672e-06				
sus_scrofa	6_0,3_0,7_0					4.247008282540859e-06												0.00016497024513498947			8.706808513183164e-06		3.19338682411948e-06	3.64086054653617e-05					2.2099260358245403e-06										
homo_sapiens	6_0,3_0,7_0		1.2943380104690373e-05	3.3093632284932585e-05	1.3119948799773087e-05	7.673045580795803e-06			2.4793334487662378e-06		2.430716449936667e-06		0.0001814584542325497		2.5978396172871094e-05		1.1840707635339579e-06	1.1500900313695044e-05	0.00013850378771489553	6.5817654942431745e-06	1.501601278514004e-06	8.43285334964047e-08	2.6143154598299997e-07	1.07403141398929e-05	1.4544798807015273e-05	3.0272636760267253e-05	0.0006046121296691315	2.16876180388007e-05	1.0606477380537152e-06	9.749212183462359e-05	9.986438202080219e-05		2.7864176179792437e-05		2.743228146693898e-05	2.784727238753327e-05		4.632063324262632e-05	
rattus_norvegicus	6_0,3_0,7_0					3.161531023229907e-06			1.3334854715554666e-06				0.00011438330962141346					7.008329328623868e-06					5.219758989126403e-07	1.3002873611207032e-05							0.0012157813143274087	7.546734571552898e-06			3.2305615751563073e-06				
gorilla_gorilla	6_0,7_0					1.0034309813830941e-07												9.860138374223902e-08																					
homo_sapiens	6_0,7_0				4.508940530185576e-08										1.4203574204457102e-08			4.402021741836078e-08	7.152634283019582e-08					9.897052346054192e-08			6.220405256856599e-08						6.938596749295176e-08		1.364357438946096e-08			6.95666909507312e-08	
mus_musculus	2_0,2_2,11_0					1.0212208845955165e-07			3.2642918381409225e-07						1.5363095211877267e-07			2.219908836015635e-07						1.0951403640560939e-07				3.441754072819186e-06			0.0002541063034122259	1.3049544173560544e-07			1.4940873344422322e-07		1.9941966543746229e-07		6.46027887929638e-05
bos_taurus	2_0,2_2,11_0					1.73063939597502e-07			1.287429205662172e-06				5.087183825957769e-06					0.00020823164808754662					7.39320117008008e-08	6.068500568916444e-07					5.51850541823828e-07		0.0007057681252119658	1.1308987674667506e-06			1.321630127048526e-06				
