Species	path	Ammon's horn	adipose tissue	adrenal tissue	adult mammalian kidney	brain	cerebellum	cerebral cortex	colon	embryo	female gonad	frontal cortex	gastrula	heart	intestine	kidney	liver	lung	mesonephros	multi-cellular organism	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thyroid gland	zone of skin
mus_musculus	6_0,3_1,3_2,3_3,3_5,3_6,2_0	0.00011479474640111202			5.735212758736736e-08	0.00018338442529071918	6.54472922072916e-05	5.7652012041933e-06	1.714079632561069e-07		8.889085400572141e-08			1.2644397726348404e-07			1.9693985597743732e-08							4.938351803956786e-07							2.681444413063474e-07
bos_taurus	6_0,3_1,3_2,3_3,3_5,3_6,2_0				1.51987140672002e-07	0.00020399737342917582			1.5043231713915303e-07													6.233000967229174e-05			7.173308956363586e-10						
gorilla_gorilla	6_0,3_1,3_2,3_3,3_5,3_6,2_0				8.234893480239564e-08		6.570353567568673e-05					6.83789527450162e-05					4.9046629941418656e-08					0.00012130103513973262						2.222302893806818e-08			
sus_scrofa	6_0,3_1,3_2,3_3,3_5,3_6,2_0																	1.178581279281175e-06				0.00011229938137853748									
ornithorhynchus_anatinus	6_0,3_1,3_2,3_3,3_5,3_6,2_0					4.771547360968146e-05	0.00012361305227573245				3.1114685487014276e-07			1.2376557541144363e-07																	
homo_sapiens	6_0,3_1,3_2,3_3,3_5,3_6,2_0			1.3708904716105329e-07	6.160080154962976e-08	5.3018768936714465e-05	3.712000613923272e-05		3.36068707884486e-08		1.9127948044842623e-08	0.0004785842684188243			1.9386469143707336e-07	1.0598436922383435e-07		5.5539762723180104e-08		3.367411444095493e-05	2.087612753083158e-07	5.257256572864554e-05	1.0295144878667435e-07			1.1450996558241401e-07	1.2699192808913836e-05	2.231537667451002e-07			
mus_musculus	6_0,3_0,2_0	1.1092637934235725e-05				7.888697897755963e-06	5.572707190501974e-07	6.93891054025826e-07	8.48517415948437e-08								6.501512781433925e-08							9.376617349285036e-09							3.22434150259243e-08
monodelphis_domestica	6_0,3_0,2_0					0.00030784552331494726	7.981784124994407e-05							6.903707655384063e-08																	
xenopus_tropicalis	6_0,3_0,2_0					0.0003560498187357516				4.261628868350656e-06			1.0458177901564493e-05	1.2494944310384291e-06			1.2191149975367615e-07		1.3796862621382862e-06									6.730113944335429e-07			
bos_taurus	6_0,3_0,2_0				2.6863135784418724e-08	1.101439326091061e-05			6.465365779713e-07													6.344598985075163e-06			2.777948024509906e-08			5.1430657446701485e-08			
gorilla_gorilla	6_0,3_0,2_0				2.5085774534577357e-08		3.2917022520872354e-06					3.5410432413683248e-06										9.763938461165364e-06						9.722242472418516e-08			
sus_scrofa	6_0,3_0,2_0				8.572716438372371e-08													1.4334096639906183e-07				8.33028399360926e-06									
homo_sapiens	6_0,3_0,2_0			4.896966897509321e-07	3.27140787909258e-08	7.314667110275029e-06	2.770910781747484e-06		1.8180801545141711e-07		2.1244764622968718e-07	2.7135951415927694e-05		1.806506115404962e-07	7.161930570079377e-07	4.597097011450172e-07		1.764351102833212e-07		2.1463697822787257e-06	5.093845745870144e-08	9.029937543616385e-06	1.6654456659386954e-07			4.5209688056477985e-07	2.6049626274695045e-06	3.330781922402519e-07			
gorilla_gorilla	3_0,3_1,3_2,3_3,3_5,3_6,1_1																					9.448808791572166e-08									
homo_sapiens	3_0,3_1,3_2,3_3,3_5,3_6,1_1						4.728161813285469e-08					1.885638817257993e-07								1.6634022246909898e-08		5.985196653307801e-08									
bos_taurus	3_0,3_1,3_2,3_3,3_5,3_6,1_1					6.681462609330247e-08																									
mus_musculus	3_0,3_1,3_2,3_3,3_5,3_6,1_1	6.218350347911109e-08				4.616194978874118e-08	9.237908153770485e-08																								
mus_musculus	3_0,2_0,1_1	5.978099392820997e-05			4.7895911050947115e-08	6.137526053808751e-05	2.9573847994366336e-05	3.7056735012868577e-06	1.1337889800713728e-07					7.994858181144932e-08			8.308850039896187e-08	3.802531084830981e-08						1.4533756891391805e-07							8.214311748176605e-08
monodelphis_domestica	3_0,2_0,1_1					0.00011469363498135783	0.00010811291349287422							4.6441027219527174e-08																	
